gz,wd,zs,ll,gy,ry,pH
330.2 ,37.0 ,500 ,50 ,0.029 ,32.3 ,6.83 
331.3 ,37.1 ,500 ,50 ,0.034 ,29.3 ,6.82 
332.2 ,37.0 ,500 ,50 ,0.037 ,30.7 ,6.82 
330.9 ,37.0 ,500 ,50 ,0.033 ,25.8 ,6.82 
330.7 ,37.1 ,500 ,50 ,0.031 ,29.0 ,6.82 
330.2 ,37.0 ,500 ,50 ,0.029 ,26.4 ,6.82 
328.6 ,37.1 ,500 ,50 ,0.022 ,34.5 ,6.82 
330.1 ,37.1 ,500 ,50 ,0.029 ,32.3 ,6.81 
330.5 ,37.1 ,500 ,50 ,0.030 ,32.4 ,6.81 
332.3 ,37.0 ,500 ,50 ,0.038 ,27.0 ,6.81 
330.5 ,37.0 ,500 ,50 ,0.030 ,29.5 ,6.81 
329.6 ,37.1 ,500 ,50 ,0.026 ,30.4 ,6.80 
328.9 ,37.0 ,500 ,50 ,0.023 ,32.9 ,6.80 
330.5 ,37.0 ,500 ,50 ,0.030 ,33.6 ,6.80 
331.8 ,37.1 ,500 ,50 ,0.036 ,29.7 ,6.80 
330.9 ,37.0 ,500 ,50 ,0.033 ,28.8 ,6.80 
330.0 ,37.0 ,500 ,50 ,0.028 ,29.9 ,6.80 
328.9 ,37.1 ,500 ,50 ,0.024 ,33.0 ,6.80 
328.6 ,37.0 ,500 ,50 ,0.022 ,38.2 ,6.80 
330.1 ,37.0 ,500 ,50 ,0.028 ,32.4 ,6.79 
331.6 ,37.1 ,500 ,50 ,0.035 ,33.8 ,6.79 
332.0 ,37.1 ,500 ,50 ,0.036 ,30.7 ,6.79 
330.6 ,37.1 ,500 ,50 ,0.030 ,27.7 ,6.79 
329.9 ,37.1 ,500 ,50 ,0.029 ,30.4 ,6.79 
329.5 ,37.1 ,500 ,50 ,0.027 ,32.8 ,6.79 
328.7 ,37.1 ,500 ,50 ,0.022 ,35.0 ,6.78 
329.5 ,37.1 ,500 ,50 ,0.024 ,37.8 ,6.78 
329.7 ,37.1 ,500 ,50 ,0.027 ,35.4 ,6.78 
331.3 ,37.1 ,500 ,50 ,0.033 ,36.1 ,6.78 
331.6 ,37.1 ,500 ,50 ,0.035 ,29.7 ,6.78 
330.8 ,37.1 ,500 ,50 ,0.032 ,30.4 ,6.78 
330.3 ,37.0 ,500 ,50 ,0.029 ,30.0 ,6.77 
329.0 ,37.0 ,500 ,50 ,0.024 ,36.8 ,6.77 
329.8 ,37.0 ,500 ,50 ,0.027 ,38.9 ,6.77 
331.0 ,37.1 ,500 ,50 ,0.032 ,34.6 ,6.77 
331.7 ,37.0 ,500 ,50 ,0.035 ,33.6 ,6.77 
331.0 ,37.0 ,500 ,50 ,0.032 ,31.8 ,6.77 
330.5 ,37.0 ,500 ,50 ,0.030 ,32.6 ,6.77 
329.0 ,37.1 ,500 ,50 ,0.025 ,37.1 ,6.76 
329.2 ,37.0 ,500 ,50 ,0.024 ,40.2 ,6.76 
329.7 ,37.0 ,500 ,50 ,0.027 ,39.8 ,6.76 
332.0 ,37.0 ,500 ,50 ,0.037 ,36.2 ,6.76 
331.5 ,37.1 ,500 ,50 ,0.034 ,36.2 ,6.76 
330.9 ,37.1 ,500 ,50 ,0.032 ,38.1 ,6.76 
328.9 ,37.0 ,500 ,50 ,0.023 ,43.0 ,6.76 
329.8 ,37.0 ,500 ,50 ,0.027 ,45.3 ,6.76 
330.5 ,37.0 ,500 ,50 ,0.030 ,45.3 ,6.75 
331.3 ,37.1 ,500 ,50 ,0.034 ,40.9 ,6.75 
330.4 ,37.0 ,500 ,50 ,0.030 ,44.5 ,6.75 
329.3 ,37.0 ,434 ,50 ,0.027 ,40.7 ,6.74 
328.9 ,37.0 ,475 ,50 ,0.023 ,36.8 ,6.74 
329.6 ,37.1 ,437 ,50 ,0.026 ,37.9 ,6.73 
330.3 ,37.1 ,457 ,50 ,0.029 ,38.4 ,6.73 
331.4 ,37.1 ,454 ,50 ,0.034 ,40.2 ,6.73 
331.7 ,37.1 ,432 ,50 ,0.035 ,28.2 ,6.73 
331.4 ,37.0 ,431 ,50 ,0.034 ,35.4 ,6.73 
330.9 ,37.0 ,426 ,50 ,0.032 ,30.0 ,6.72 
329.2 ,37.0 ,432 ,50 ,0.024 ,36.7 ,6.72 
328.7 ,37.0 ,424 ,50 ,0.022 ,36.9 ,6.72 
330.0 ,37.1 ,422 ,50 ,0.028 ,37.9 ,6.72 
332.3 ,37.0 ,422 ,50 ,0.038 ,35.7 ,6.72 
331.9 ,37.0 ,412 ,50 ,0.036 ,32.8 ,6.71 
331.7 ,37.0 ,412 ,50 ,0.035 ,33.2 ,6.71 
329.2 ,37.0 ,412 ,50 ,0.026 ,37.5 ,6.71 
329.3 ,37.1 ,406 ,50 ,0.025 ,40.1 ,6.71 
329.2 ,37.1 ,396 ,50 ,0.024 ,36.4 ,6.71 
331.0 ,37.0 ,400 ,50 ,0.030 ,36.3 ,6.71 
331.4 ,37.1 ,400 ,50 ,0.034 ,35.5 ,6.70 
332.3 ,37.1 ,400 ,50 ,0.038 ,35.7 ,6.70 
331.4 ,37.0 ,390 ,50 ,0.034 ,32.8 ,6.70 
330.8 ,37.0 ,390 ,50 ,0.032 ,33.2 ,6.70 
330.2 ,37.1 ,390 ,50 ,0.030 ,34.7 ,6.70 
329.1 ,37.1 ,390 ,50 ,0.025 ,38.1 ,6.70 
328.6 ,37.1 ,376 ,50 ,0.023 ,36.5 ,6.69 
328.6 ,37.1 ,374 ,50 ,0.022 ,35.2 ,6.69 
332.3 ,37.1 ,379 ,50 ,0.038 ,34.1 ,6.69 
331.6 ,37.1 ,380 ,50 ,0.036 ,35.8 ,6.69 
331.5 ,37.0 ,355 ,50 ,0.034 ,34.1 ,6.69 
330.4 ,37.0 ,350 ,50 ,0.032 ,32.4 ,6.69 
329.6 ,37.0 ,350 ,50 ,0.028 ,33.0 ,6.69 
329.1 ,37.1 ,357 ,50 ,0.024 ,46.6 ,6.69 
330.2 ,37.1 ,389 ,50 ,0.029 ,33.8 ,6.70 
331.8 ,37.1 ,357 ,50 ,0.036 ,25.8 ,6.70 
330.7 ,37.1 ,373 ,50 ,0.031 ,42.6 ,6.70 
328.6 ,37.0 ,420 ,50 ,0.023 ,29.6 ,6.69 
